name,val_auc_macro,val_auc_micro,test_auc_macro,test_auc_micro
Wide only (MLP),0.9028245040556158,,0.9036014276978166,0.9228686651089787
XGBoost (Wide only),0.8996452887992987,0.9223249804573905,0.9033959071120737,0.9243380210710863
Wide+Deep (122 feat),0.8951270141055072,,0.8982695917971926,0.9190044185035813
Deep only (CNN+Transformer),0.8652615772361228,,0.8661236893885261,0.8938017342605027
